id;bug_title;bug_info;priority
1;purple Unions monitoring;Plastic synthesize;Strategist Small Rubber Towels
2;ivory Lempira;invoice;programming
3;Checking Account;Buckinghamshire Row;Wyoming
4;CSS methodologies;AGP Auto Loan Account;Finland
5;withdrawal Forward;time-frame Ethiopia;Nebraska Internal PNG
6;synthesizing Fantastic Wooden Cheese Customer-focused;transmitter withdrawal;index Montana
7;Checking Account;monitor;Direct Table Borders
8;Human Gorgeous Metal Hat;scalable;National cultivate
9;Handcrafted transmit;interactive;Isle
10;Metrics open-source;distributed deposit;visionary
